review,label
亚马逊的服务真的是差到了极！致！（就看这个服务，我以后是不敢再在中亚买东西了） 2017年12月29日下的订单买了一个枕头，显示预计1月5号（好像）送达，本来是挺好的功能，显示预计送达时间。 然后1月5号的时候，我去看订单状态，没有物流信息，我就咨询了亚马逊的客服。 客服反馈需要联系香港处理，周末香港不上班，只能下周一处理（我不知道为什么我反馈问题的当天不能处理，我反馈问题的当天是工作日），好吧，我等！ 周一（再不就是周二）的时候，我接到亚马逊的反馈说“订单有问题，已经反馈技术部门处理了”，我当时就蒙了~~~~~ 我管你什么有问题，你们难道不是应该第一时间把欠我的东西给我发过来吗？还技术部门处理订单异常的问题？？？我简直不敢想，这是亚马逊的回复，简直就是一下三四流小公司的服务啊！ 在漫长的技术部门的处理结束后，我的商品至少又过了一周的时间才送到。 然后，第二件让人生气的事来了。亚马逊的客服联系我说订单处理好了，已经发货了，并且为了表示歉意，愿意给我一张”10元的代金券“，我当时气得差点没骂人！这是拿消费者当孙子耍着玩吗？？？你们这么烂的服务，还给我10元的代金券，意思让我别去别的地方购物，还继续在你们亚马逊买东西，被你们耍呗？,0
按照季节的不同、体质的不同等等来细分对应不同的汤粥，内容丰富，图文并茂，很喜欢,2
除排版不太好之外，书的其他还行。但是快递员太差劲了，漏发短信就算了，还在午休的时间才打电话让快点去取件。挺无语的,1
这货是镍氢电池的，标识110-120v，不过反正插上去一样可以充电。,2
感觉一直在重复，都没有读完，一点也没意思,1
跟图片完全不一样！亚马逊怎么这样！千万别买,1
这个小键盘的按压感太差了，必须比较用力才能按得下去，跟我自己的笔记本电脑上的键盘差太远了…特别是右下角的回车键，它的下半个键都是不灵的。。按不了。。好郁闷。。 另外，小键盘背面的四个角是不平的，我得垫上一张卡它才能稳住。。 当时买的时候，因为把包装拆掉了，自己又装不回去，所以想着就觉得算了，凑合着应该还能用，直到今天录入数据时才感觉非常不方便……唉，以后这种键盘还是去实体店自己亲自试一试的好。。,1
刚收到货，就发现，背包破成这样！！！不值的购买,0
质量一般，感觉封口处不密封，等待以后的验证,1
一般般，希望解决的问题没解决几个，相当于一本辅食烹饪书。,1
不好，贴纸不仅少，而且完全没有逻辑性。小朋友除了里面的三辆车，其他都不喜欢,1
喜欢吃这个糖， 吃多了也没感觉喉咙不舒服。,2
我看了这本书之后打算放弃装修。负能量太多。没有什么有效的建议。,0
偏大，平时正常36，这个至少偏大半码，有点硬,1
包括配送费，还是比原书价便宜一些。亚马逊到底有点好啊。,2
和大家的情况一样，特殊的插头结构，任何插座都插不进去，至今没法用，就是个废物。希望能提示一下到底能用于哪个国家的插座。这种明显的大毛病也能上架贩卖真是让人很难理解。,0
就是快递太慢 等了2星期了 鞋非常舒服 我的脚比较宽 又厚 足弓又高 这双鞋 穿上 感觉脚趾活动自如 前后差不多满了 还不顶脚 鞋上标签写得是270mm,2
不是亚马逊的，贴着是广州一家贸易公司的标签，并且漏出来很多，与我美亚的瓶盖有不同，这次买的瓶盖上一圈的齿比较尖锐扎手。,0
企业人力资源管理师考试指南好像是旧内容，目录跟教材不太相符。,1
袋子有点小，买之前要考虑好，感觉不太实用,1
买来的时候看着还行，背了一天，隔了几个月翻出来发现所有五金的镀层都花了，暗淡无光，价格还从258降到199,1
真是一次让人失望的网购 四边全都是气泡,1
内容松散，更像是一本笔记，代码排版太烂，但是认真看看还是能学到一些经验,1
充满电后还缺一个格，可能是发货前耳机放的时间太久了吧，还有一半的电的时候和手机放在一起有时声音都不连贯。有些重，晃晃右边就掉了。其他的还好，很方便。,1
一直很喜欢百乐 尽管有些贵 但是我觉得挺值得的 上墨器还没有用 现在在用墨囊,2
生词不多，看着蛮流畅的。内容非常丰富，可以考虑略去一些不重要的章节。 此外还看了本书的中译本，发现翻译的还不错，不如直接看中文的了，速度会快很多。,2
以下几点值得思考: 不要因为现在很差而跳槽，要为将来更好而跳槽; 没有思考好人生的意义，没有个人目标，跳来跳去是没意义的; 定下目标后，要有所准备，准备个两三个月再去面试; 简历要精简，要突出业绩和能力,2
好用，质量高大上，货真价实，物美价廉，方便快捷，物超所值,2
收到后约的安装，师傅当天就联系了我，第二天一早就过来安装了，这效率可以 这位师傅态度也很好，值得表扬！,2
容易干，不上色，而且很容易晕妆，还没有我买的几十元的好用,0
带着不舒服，材质很硬，感觉没有什么效果。。,1
杯子样子是很可爱，但是并不是保温杯，也不隔热，如果孩子用，放热水的话，孩子很容易烫手。只是个普通的不锈钢冷水杯。,1
帮助很大 受益很多 如今早已大学毕业 回收再写这个评论 感触蛮多的,2
鞋子皮质很软，但是应该是别人退过货的，鞋底倒是干净，估计就是踩了一下，鞋面留下了褶皱。扣子的部分有些挤，我的脚是偏宽，穿几次之后会好很多，也印证了是真皮。平时37的脚买6.5合适，再大前面就长了。整体还是很喜欢的，活动价入手很合适，比海淘都便宜，但是这个老是买到退货的确实有些不舒服,2
实物颜色饱和度不够，没有图片看上去那么有蜡笔感。但是总体上还是很好看，让人活力十足。是买给弟弟的，自己试背了下，对女生来说确实大了点，不过短途旅行的话还是很合适的。 另外，标签上没有贴价格 ------------------------------------------- 评论里的图片被吞了吗？,2
还行吧吗，红屁股的时候涂点，效果反正不明显,2
买了这套书 本想收藏 但外壳受损 联系卖家说给退3块钱 我说要退掉 他们说退掉我得找个箱子装上 又要打印神马各种乱七八糟 要求一大堆 我就怒了 一百多的书 外壳受损 陪3块 这么少 这也就算了 你寄过来的时候可是就一层包装 就因为这个外壳才受损的 结果又让我给你拿个箱子装上 我哪有这么多大小合适的箱子 然后也没寄走 过几天消气了还是决定退掉 期间跟卖家联系 运回去的费用他们出 他们没有正面回答 但是总问我运费多少 还要控制在八块钱以内 我说我这3本书 起步价都得15 后来让我是朋友给我寄走的 德邦快递 他跟我说18块 我跟卖家邮件里说了 卖家说收到我寄过去的书的时候就退款 结果书他们收到了 给我发邮件原文“您好，退货已收到，我们核实退回商品并无破损质量问题，个人原因退货，运费需自行承担，请知悉。”我就纳闷了 之前破损的时候 照片都给他们发过了 怎么又说没破损 我无语了 后来找到亚马逊客服 客服联系卖家 让卖家联系我 也没有联系 我本想运费不要了还不行 给个差评 让自己心里过意得去也好 而且也能让大伙看清楚卖家的嘴脸 大伙小心 不要有人再买到我给寄回去的破损书皮的书 刚刚给我发邮件 说运费退了 让我删掉差评,0
买来装在欧司朗柏林上的，原装灯泡用了不到一年，这第一个用了不到两周，打开开关，闪一下，就到第二个了。下单后还琢磨，会不会买多了？十个得多久才能用完？现在看来想多了。 顺便吐槽下柏林灯那个玻璃片真是太难拆了，完全卡在了金属罩上，几乎是在气急败坏的情况下拆下来的，金属罩边缘已部分损坏。哪位有好的拆卸方法望告知。谢谢！,1
这一切的一切，到底是为了什么呢？有什么价值呢？,1
东西是不错，但是物流是很扯淡啊，说的是第二天下午三点前送到，结果没有送，也不打电话通知，找快递员的电话也找不到，只好打客服电话去找。第二天自提。我可以说这绝对不是亚马逊的自营物流，是外包第三方的小物流。,2
还没打开用，但是价位太合适了，平均五毛一包！,2
内容还没看，但是怎么感觉都像是复印版的，纸张很不好，而且书很旧，脏脏的，我以前看我们老师的很好才买的，太失望了，以前在亚马逊买书也不这样呀？什么情况呀！完全一旧书呀！,0
不好不好一般般啦你们说不要体检不要推荐老板非要推荐烦不烦不烦啊,0
买了一套 书的印刷质量不错 可以从老照片里窥看以前的大北京,2
留意了很久，冰点低价入手，好用，造型自然，不伤发，热得快。,2
排版太差！几乎就是一种字体，医案之间没有明显分隔的字体，看着觉得凌乱！,0
书看上去还好，其实里面缺页，漏印，非常不好,1
BOSS是韩国人，让帮忙买的这本，纸质不错,2
把韩信的故事往苏秦头上套 这种例子不胜枚举 不过 译者还是读过不少典籍的,1
视频根本看不了。实在是太失望了。根本就是个垃圾。如果可以退货。一定会退货。从来没有这么失望过。亚马孙居然也有这么垃圾的视频。,0
书是正版。运输包装还用了气泡袋，买了很多次书，这还是第一次体验。不错！,2
外包装就是渣，就一个破胶袋，运输搞破了，里面的书都脏死了，买了两本书，其中一本过吸塑还好，拆开里面没什么事，这本就果断退了。 另外，这本书跟期望中想要的出入蛮大，除封面外，里面每一张彩图，都是黑白的，估计不是正版。,1
感觉案例还是比较经典的案例' 每个案例偏向于说整体的布局，觉得听不错。。。 不过我觉得要是多写些如何分析和为什么制定这些策略就更好了。。。不是有一句话说，发现真正的问题才是更重要的的吗，所以如果阐述下如何分析会更好,2
1、配件收到时发现已损坏 2、变压器不是宽电压的，120伏，非常不方便,0
开头写的很不错，越看到后面越觉得在凑篇幅，没有主题，变成了一本新闻学教材了,0
感觉不真，这次的无论是包装还是气味都不对，至少和上次买的完全不一样，建议亚马逊查查自己的进货渠道！,1
还可以，比时文简单，背诵一些优美的句子对写作有好处,2
挺好，挺 耐用，希望能用久一点,1
产品质量没问题，只是顶喷不能上下调节，一米八以上的人估计没问题，我一米七的身高，垫起脚尖才能够着顶喷，下来的水都冷了，这个产品是帮老外身高设计的，还不能高低调节，硬伤！,2
非常好用，也漂亮。但是设计有缺陷，一掉地上，碎了⋯⋯,1
我选择中的是表底颜色是白色的，为什么发货发过来的是表底颜色是黑色的那种。没有偷换货品吧？还是贵网站的工作人员不看客户选的要求就发货。,1
很实用的一本工具书，小巧精致，方便携带，推荐给大家。,1
东西感觉不值这个价格，不如同价位实体店的东西。,1
订了一件L号的，收到货后惊呆了：衣服揉成一团塞在袋子里，全是皱，内胆到处刮痕，吊牌也没有缝在衣服上，衣服一股洗衣液的味道，更牛的是衣服是XL号的。亚马逊，我可以告你欺诈消费者吗？,1
送朋友的，朋友说还可以吧，质量怎么样要用用才知道,2
300块钱的配置，卖5000块，也是醉了，奸商骗不懂的人，真是没道德！,0
无论产品介绍还是实物都没有中文说明 放了电池也不热 完全不知道怎么操作,1
注释过于应付 性命篇是否少了啊？对于三等资质的评说，怎么没有,1
渣渣，包装不行，而且书一共有几个角，就有几个角被挤了,0
"内容没有重点行，结构组织也不好，前端用了自己开发的工具，服务器端用 的java,不是很喜欢，怎么说是个实战的项目，因为是合作写的书，所以，内容组织的不好",1
你好，秦始皇上册的目录极不完整，对阅读带来很大不便，请更新，谢谢！,2
这个作者没怎么见过，但是文字不错，很多场景描写很震撼，写二战时候的各个阶层，尤其对上流社会的描述很出彩，“雅西城的老鼠”一章描述在炮火中看到雅西城逃亡的贵族像天上神仙出行，很魔幻。,2
我6月2日下单，现在是6月20日，期间多次联系客服，至今未送达，销售说明中承诺不转运，约定6月16日送达，客服多次以客观理由推诿。销售地美国亚马逊如果逾期送达会再发一个快递，我也就此提醒，结果客服只是说催转运公司加快办理，你们在声明中明确说不转运，为什么给我邮寄的是转运？延期是不是你们的问题？我就想问问，海外购是不是按照销售地的商业信用和法律执行，还讲不讲信用？,0
没有什么味儿，价格还挺贵。不值这个价钱。,1
"内容假大空,纯粹骗钱。垃圾电子书。看完想骂人。国骂",0
先入手了中文版，实在喜欢，又入手了英文版再重温一下,2
为什么电脑上面的阅读kindle打不开，显示商品与设备不兼容，这不是坑人吗,0
的确美，很有深意，经历也丰富感人，只是孩子喜欢看故事性的，有情节吸引人的，以后再细细看来。,2
这个比设计的怎么说呢，我用墨水瓶吸墨水，旁边的地方很容易沾上墨迹并且不好清理,1
这是一个糟糕的鞋子，走到哪里都是咯吱咯吱的响！尤其是商场、办公楼的地砖上！,0
听闻这本大名鼎鼎的著作已久。据说这本书得到了早期诸多心理学家的好评。如弗洛伊德就曾评价说：“勒庞的这本书是当之无愧的名著，他极为精致地描述了集体心态。” 本书所陈述的观点“个人在群体中会丧失理性，没有推理能力，思想情感易受旁人的暗示及传染，变得极端、狂热，不能容忍对立意见”，极度深刻、犀利。本书也被视为社会心理学领域不可不读的著作！ 推荐给对社会心理、对集体思维、对团队合作感兴趣的读者阅读！,2
试了试加热很快 第一次使用有异味 质量有待验证,2
暖风开3档，晚上还是无法睡觉的，不建议放在卧室。但是在客厅取暖没什么效果。,1
我已经有这本书的影音版本了，为了下载里面的图片，我又在本网站买了原版的第十版，结果网站上根本就没办法用，真的不如我在国外网站上直接买的好。,0
打开封面竟然是这样的，亚马逊越来越差了。,0
漂亮的外观，神速的发货，17个小时收货。赞了。包装盒及使用指导手册均无生产厂家名称及网址，深感遗憾。包装盒上印有遥控器操作，但无遥控器，免费升级，但不知如何升级。盼商家或厂家告知！！,1
是买给爸爸的，刚收到时很喜欢，可以看了之后发现第一本和第三本除了封面外，里面的内容是一模一样的，那就说明缺了好多的知识，爸爸很遗憾，我很郁闷。本想联系卖家说说这事儿，而商家居然没有留联系方式，如果是在淘宝我就退货了，在这里退货不方便，下次除非找不到，否则不会再在这个网站买书了，太不靠谱。,1
就是冲索尼品牌买的，感觉整体一般，可能是这价位的原因。,1
这个太酸了，不太符合我的口味，而且有种放了很久的感觉。,1
身为一个新手妈妈在这本书里面找到很多共鸣也学了不少好办法,2
看不到一半，许多东西在书中有意或无意地重复出现，不是太能接受。毕竟我只是想听听故事，而不是刻意想听作者的牛逼的人生。,1
平时37、38码的，订的稍微大了点，不过穿在脚上很舒服。正不正品不重要了，反正也就六百来块钱。,2
请问卖家？ 本人己申请退货了，怎么几天过去了，没人处理的呢？,1
在亚马逊购物多年最失败最失望的一次，售后形同虚设，一个月内三次联系安装均无人上门。绝对差评！！！,0
给孩子用的书，能更好的接近大自然了解大自然。如果有时间陪孩子一起外出这是的话还是建议购买！,1
很好看，可惜用了不到一周就坏了。先是盖子上的防水垫掉了下来，紧接着盖扣也断了,1
"亚马逊就没有保价吗？？？我货都没收到,两周内从9月2日到9月13日,从我买的时候180元降到160元,现在是130元！！天理何在阿？？还有那个稀烂的ups物流,谁遇见谁倒霉！！",0
杯子挺好的，可是我刚买完第二天就降价了，而且60块的杯子降到39,1
都说funko其实最擅长的是星战系列，单实际体验下来的结果，并不是这样。星战做工好的公仔屈指可数，反而哈利波特系列的都还不错。,2
垃圾中的垃圾。内胆里面竟然还有机油也没任何的说明。害得老子一锅米饭哦……,0
同样内容的卷子，可以以不同的标题出现在这本真题卷里，可能是为了要滥竽充数。参考答案的编排有大量顺序错误，以及大量莫名其妙的省略。缺乏一定的严谨性。难道是盗版？还是不负责任？,0
"还把自己的缺点写在纸上埋葬,公司集体组织埋葬。",0
锅很精致，也很沉，可以用铁铲炒菜，很用力都没有关系，用起来很顺手，特别是翻锅。,2
已经有了三个版本了。因为喜欢繁体竖版和每回前的两幅插图，所以又买了，可能是八十年代的版本，又是第十次印刷了，所以看上去不够清晰，但版本很好，是自己喜欢的。这套书的活动力度不大，但亚马逊是目前最优惠的了，相当于6折多吧。,2
史实性很高，里面都很多地方都有依据，标明了出处 有得必有失 所以阅读性一般，读起来并不顺畅，有点枯燥难懂 总的来说，这书更偏近于研究型的 所以，注重史实的读者可以购买,2
预计20日到货，现在超出一周了，可是没有任何短讯提示的。,0
没付款就显示订单已完成，在我的订单那里看到有未付款订单，但是点击进去，各个订单页面时，又没有付款选项，造成我订单迟迟无法完成。打电话给客服，客服更是一问三不知，态度还巨恶劣。网上有很多人反映也遇到这问题，而客服却说从没遇见到这类问题。真不知道客服是干什么用的，难道就只能帮查物流，这年头，谁不会查物流，请问，客服存在的意义是什么,0
这本书挺不错，以后还可以继续看，会推荐给好朋友,2
功放的功能比较强大，新旧接口都有，音质也不错。缺点是没中文说明书，有好多功能不会用。另外功放后排用来插CD或唱机的电源插座没有留，使用有点不方便。,2
还可以，性价比高，唯一的缺点是声音比较大,2
买前看到有差评还不以为然，收到货后录制一下开始花屏，然后怎么重启都花屏，直接退货了，太让人生气了，就不能测试一下发出吗？另外包装盒没有封条怎么保证是全新呢？,0
看到新手机壳，没有别的话说，觉得二手市场的都比这个新,0
书不错，就是等的时间长，下单显示有货，后来迟迟没发，联系过后说没货了，再从新采购，沟通没有问题，解决的也快，就是等的时间太长了下单到货一共一个月,1
看到小鸡炖蘑菇和酸菜炖白肉还是很想做来吃的,2
薄了些，没想象中好，但退货太麻烦了，不退了,1
保质期只到5月，小孩还未开始学刷牙，到时没法用，所以到货发现保质期太短，马上就申请退货，但亚马逊一直未来收货是什么原因?,1
注意，买前查看你的手机是否支持OTG功能。下完单，用别人的U盘试了下，结果没反应，一查才知道，自己的华为荣耀畅玩5X不支持OTG功能，因此在手机上无法使用。于是货到扬拒收了。这款U盘，提供终身有限保修的，值得信赖——手上有快捷的移动硬盘，用了多年，一直很稳定。而另一款西数的500G移动硬盘，无缘无故的总是连接中断。买了移动硬盘，准备更换时拆开西数一看，竟然不支持更换盒子——硬盘是直接通过接触点，用螺丝连接在移动硬盘盒线路板上的，接触点有明显烧灼的颜色。这说明线路板无缘无故的烧了，因为无法更换，所以这个没怎么用的西数硬盘玩完了，而硬盘盒也白买了。不要迷信国外大牌。,2
不倒不漏挺好的，但是杯子里的吸管容易往下掉。要吐槽的是包装相当简陋就直接放在一个塑料袋里就漂洋过海到中国来了，一点保护都没有。拿到手杯子表面都磨花了，跟旧的一样。强烈要求加强包装！！！！！,1
刚看了几页 就看不下去了，感觉是天涯小说连载。反正没有给我什么震撼,1
据说原版文风轻松生动，但中文翻译的太差，枯燥乏味。,1
刚买了几个玩具，拆开后发现一个都不能用，退货还让我保持发货的样子，我不拆包装怎么知道它不好使？有病啊。再也不会买亚马逊的，垃圾。打一星就不显示了，只能打两星。。。,1
质量不错，安装简单，晚上也没有蚊子骚扰，这个很值，值得拥有。,2
"还是看官方文档吧, 这本书的信息量差太多了",0
很满意，质量还可以，再精细点就完美了，孩子很喜欢。轨道安装很简单。,2
买了一个月，都还没有到货，每次查的在路上，根本就没有发货，查询快递订单，显示根本就没有该订单的物流信息，骗子，耽误时间。购物体验很差,0
收货时间到，却没收到货，收到退款，不知为什么？,0
能够测量，不知道准不准确，大致范围应该还是对的。,2
用了一个月以后，发现笔尖居然掉下来了，很无语。还找不到反馈的地方。,1
亚马逊的服务还是需要改进，我买的书，邮递人员也不给我打电话或发短信，直接放物管，网站的送达时间也比实际的推迟，等我找很久没有找到，问客服说让邮递员给我打电话也不打，第二次问还说他们网站的时间有延迟，也没说改进。有待提高。,1
不好，用了一个月就起泡开裂，以后不会买该品牌的仼何东西,1
人也变，人的思考方式也变。在错综复杂的官场上，人怎么活着，获得成功就是一切吗？这篇小说所包涵的意义很广泛。,2
料子舒服，但是质量不好，本来就有些大，洗了一次之后，变得更加宽松了。袖口已经成小喇叭状了。,1
我用着刺激眼睛，抹上之后眼睛一直想眨，像辣椒粘上的感觉,0
仰头漱口的时候特别容易起沫膨胀流出来，这一点不如冰蓝,1
漏了配书的dvd光盘 这种教材没光盘根本没用 也没有补发的选项 只好申请退货,0
每次都不发货，也没交代的，连个客服都很难联系这次如果不发货，果断卸载，永不登陆！,1
黑色清洗的时候会掉黑色的斑块，让人不快。目测比国内其他牌子的的L码要大。不会回购。32的裤子穿m刚刚好。,1
感觉应该不错，没看到书籍，看提纲还不错！希望对孩子学习有帮助！,2
